MODULE;PROP;CAT;DIR;TYPE;INST;FORMAT_VALUE;INITIAL;STATUT;DESCRIPTION;EXEMPLE_VPIV
CfgS;modeRZ;V;SP?SE/SP?A;enum;*;0=ARRET|1=VEILLE|2=FIXE|3=DEPLACEMENT|4=AUTONOME;ini;EXPOSE;Mode opérationnel global du robot;$V:CfgS:*:modeRZ:3#
CfgS;modeRZ;I;SE?SP/A?SP;enum;*;0-4;dyn;ETAT;ACK changement de mode;$I:CfgS:*:modeRZ:3#
CfgS;typePtge;V;SP?SE/SP?A;enum;*;0=Ecran|1=Vocal|2=Manette|3=Laisse|4=Laisse+Vocal;ini;EXPOSE;Type de pilotage du robot;$V:CfgS:*:typePtge:4#
CfgS;typePtge;I;SE?SP/A?SP;enum;*;0-4;dyn;ETAT;ACK changement pilotage;$I:CfgS:*:typePtge:4#
CfgS;(emg);V;SP?SE/SP?A;string;*;clear;-;-;Effacement urgence active;$V:CfgS:*:emg:clear#
CfgS;(emg);I;SE?SP/A?SP;boolean;*;0;dyn;ETAT;ACK effacement urgence;$I:CfgS:*:emg:0#
CfgS;(reset);V;SP?SE/SP?A;boolean;*;1;-;-;Réinitialisation complète système (bloqué si urgence active);$V:CfgS:*:reset:1#
CfgS;(reset);I;SE?SP/A?SP;string;*;"OK|""urgence active clear first""";dyn;ETAT;ACK reset;$I:CfgS:*:reset:OK#
Urg;source;E;SE?SP/A?SP;enum;SE/A;URG_NONE|URG_LOW_BAT|URG_MOTOR_STALL|URG_SENSOR_FAIL|URG_BUFFER_OVERFLOW|URG_PARSING_ERROR|URG_CPU_CHARGE|URG_APPLI_FAIL|URG_OVERHEAT|URG_LOOP_TOO_SLOW|URG_UNKNOWN;dyn;ETAT;Origine de l'urgence (réflexe capteur);$E:Urg:source:SE:URG_CPU_CHARGE#
Urg;etat;E;SP?SE/SP?A;enum;*;cleared|active|warn|danger;dyn;ETAT;Niveau urgence - SP décide après réception source;$E:Urg:etat:*:danger#
Urg;etat;I;SE?SP/A?SP;enum;SE/A;cleared|active|warn|danger;dyn;ETAT;ACK réception état urgence;$I:Urg:etat:SE:danger#
Urg;(clear);V;SP?SE/SP?A;boolean;*;1;-;-;Demande effacement urgence (alias CfgS.emg);$V:Urg:clear:*:1#
COM;debug;I;SE?SP/A?SP;string;SE/A;texte libre;dyn;-;Message debug (affichage Node-RED uniquement);"$I:COM:debug:SE:""valeur x=42""#"
COM;error;I;SE?SP/A?SP;string;SE/A;texte libre;dyn;-;Erreur non critique (sans réaction automatique);"$I:COM:error:SE:""Appli:zoom refusé""#"
COM;info;I;SE?SP/A?SP;string;SE/A;texte libre;dyn;-;Information générale;"$I:COM:info:SE:""Caméra démarrée""#"
COM;warn;I;SE?SP/A?SP;string;SE/A;texte libre;dyn;-;Avertissement (affichage jaune Node-RED);"$I:COM:warn:SE:""CPU 81%""#"
Gyro;modeGyro;V;SP?SE;enum;*;OFF|DATACont|DATAMoy|ALERTE;ini;EXPOSE;Mode capteur gyroscope;$V:Gyro:*:modeGyro:DATACont#
Gyro;angleVSEBase;V;SP?SE;number;*;deg×10 (ex:150=15.0°);ini;EXPOSE;Angle correction tangage BASE+THB (mode ALERTE);$V:Gyro:*:angleVSEBase:150#
Gyro;paraGyro;V;SP?SE;object;*;{freqCont_Hz freqMoy_Hz nbValPourMoy seuilMesure_xyz seuilAlerte_xy};ini;EXPOSE;Paramètres complets gyro (objet JSON sérialisé);$V:Gyro:*:paraGyro:{...}#
Gyro;dataCont;F;SE?SP;object;*;[x y z] rad/s×100;dyn;ETAT;Flux brut continu (mode DATACont);$F:Gyro:*:dataCont:[120 -45 980]#
Gyro;dataMoy;F;SE?SP;object;*;[x y z] rad/s×100 moyenné;dyn;ETAT;Flux moyenné (mode DATAMoy);$F:Gyro:*:dataMoy:[115 -40 975]#
Gyro;(alerte);E;SE?SP;object;SE;{axe val} rad/s×100;dyn;ETAT;Dépassement seuil alerte chute (mode ALERTE);$E:Gyro:alerte:SE:{x 350}#
Mag;modeMg;V;SP?SE;enum;*;OFF|DATABrutCont|DATAGeoCont|DATAGeoMoy|DATAMgCont|DATAMgMoy;ini;EXPOSE;Mode capteur magnétomètre;$V:Mag:*:modeMg:DATAMgCont#
