ID;Traitement;CAT;Destinataire;moteurActif;Alias;ID_fils;VAR;PROP;INSTANCE;VALEUR;Prepa_Encodage;Alias-TTS
;;;;;;;;;;;; URGENCE — priorité absolue (toujours traité même modeRZ=0) ;;;;
URGENCY_STOP;SIMPLE;V;A;0;stop,arrête tout,urgence,freine;;Mtr;cmd;*;0,0,0;;Je m'arrête.|Arrêt d'urgence.
;;;;;;;;;;;; MOTEUR — déplacements simples ;;;;
MTR_FORWARD;SIMPLE;V;A;1;avance,tout droit,vas-y,en avant;;Mtr;cmd;*;50,0,2;;Je fonce.|C'est parti.
MTR_BACKWARD;SIMPLE;V;A;1;recule,en arrière,marche arrière;;Mtr;cmd;*;-50,0,2;;Je recule.
MTR_STOP;SIMPLE;V;A;1;stop,arrête,freine,immobile;;Mtr;cmd;*;0,0,0;;Arrêt.
MTR_SLOW;SIMPLE;V;A;1;lentement,doucement,ralentis;;Mtr;cmd;*;20,0,1;;Je ralentis.
MTR_FAST;SIMPLE;V;A;1;vite,accélère,plus vite,rapide;;Mtr;cmd;*;80,0,3;;À toute vitesse !
;;;;;;;;;;;; MOTEUR — déplacements dynamiques (PLAN) ;;;;
MTR_TURN_RIGHT;PLAN;V;A;1;tourne à droite,tourne droite,virage droite;;Mtr;cmd;*;;NUM_DIR;Je tourne à droite.
MTR_TURN_LEFT;PLAN;V;A;1;tourne à gauche,tourne gauche,virage gauche;;Mtr;cmd;*;;NUM_DIR;Je tourne à gauche.
MTR_TURN_ANGLE;PLAN;V;A;1;tourne de,tourne à;;Mtr;cmd;*;;NUM_DIR;Je tourne.
MTR_SPEED_SET;PLAN;V;A;1;vitesse,à la vitesse de;;Mtr;cmd;*;;NUM;Je règle ma vitesse.
MTR_ADVANCE_DIST;PLAN;V;A;1;avance de,avance jusqu'à;;Mtr;cmd;*;;angle+speed;Je me déplace.
;;;;;;;;;;;; CONFIGURATION — modes globaux (modeRZ) ;;;;
CFG_VEILLE;SIMPLE;V;SE;0;mode veille,veille,repos,mise en veille;;CfgS;modeRZ;*;1;;Mode veille activé.
CFG_FIXE;SIMPLE;V;SE;0;mode fixe,fixe,position fixe;;CfgS;modeRZ;*;2;;Mode fixe activé.
CFG_DEPLACEMENT;SIMPLE;V;SE;0;mode déplacement,déplacement;;CfgS;modeRZ;*;3;;Prêt à me déplacer.
CFG_AUTONOME;SIMPLE;V;SE;0;mode autonome,autonome,auto;;CfgS;modeRZ;*;4;;Mode autonome activé.
;;;;;;;;;;;; CONFIGURATION — type de pilotage (typePtge) ;;;;
CFG_PTGE_VOCAL;SIMPLE;V;SE;0;pilotage vocal,commande vocale;;CfgS;typePtge;*;1;;Pilotage vocal activé.
CFG_PTGE_ECRAN;SIMPLE;V;SE;0;pilotage écran,écran;;CfgS;typePtge;*;0;;Pilotage écran activé.
CFG_PTGE_LAISSE;SIMPLE;V;SE;0;mode laisse,laisse;;CfgS;typePtge;*;3;;Je suis en mode laisse.
;;;;;;;;;;;; CAMÉRA ;;;;
CAM_ON;SIMPLE;A;SE;0;démarre la caméra,allume la caméra,caméra on;;CamSE;active;rear;On;;Caméra démarrée.
